Prefix,Category,Notes,History_Field,Date_Onset_Field,Additional_Fields
I21.3,MI,STEMI of unspecified site,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.4,MI,Non-ST elevation (NSTEMI) myocardial infarction,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.9,MI,Acute myocardial infarction unspecified,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.A1,MI,Type 2 myocardial infarction,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.A9,MI,Other myocardial infarction type,h/o__Myocardial Infarction (MI),MI_date of onset,
I22,MI,Subsequent myocardial infarction (parent),h/o__Myocardial Infarction (MI),MI_date of onset,
I22.0,MI,Subsequent STEMI of anterior wall,h/o__Myocardial Infarction (MI),MI_date of onset,
I22.1,MI,Subsequent STEMI of inferior wall,h/o__Myocardial Infarction (MI),MI_date of onset,
I22.2,MI,Subsequent NSTEMI,h/o__Myocardial Infarction (MI),MI_date of onset,
I22.8,MI,Subsequent MI of other sites,h/o__Myocardial Infarction (MI),MI_date of onset,
I22.9,MI,Subsequent MI of unspecified site,h/o__Myocardial Infarction (MI),MI_date of onset,
I23,MI,Certain current complications following STEMI/NSTEMI (remote - complication codes),h/o__Myocardial Infarction (MI),MI_date of onset,
I24.0,MI,Acute coronary thrombosis not resulting in myocardial infarction,h/o__Myocardial Infarction (MI),MI_date of onset,
I24.1,MI,Dressler's syndrome (post-MI syndrome),h/o__Myocardial Infarction (MI),MI_date of onset,
I24.8,MI,Other forms of acute ischemic heart disease,h/o__Myocardial Infarction (MI),MI_date of onset,
I24.9,MI,Acute ischemic heart disease unspecified,h/o__Myocardial Infarction (MI),MI_date of onset,
I25.2,MI,Old myocardial infarction,h/o__Myocardial Infarction (MI),MI_date of onset,
I63,Stroke,Cerebral infarction (parent),h/o_stroke,Stroke_date of onset,
I63.0,Stroke,Cerebral infarction due to thrombosis of precerebral arteries,h/o_stroke,Stroke_date of onset,
I63.1,Stroke,Cerebral infarction due to embolism of precerebral arteries,h/o_stroke,Stroke_date of onset,
I63.2,Stroke,Cerebral infarction due to unspecified occlusion of precerebral arteries,h/o_stroke,Stroke_date of onset,
I63.3,Stroke,Cerebral infarction due to thrombosis of cerebral arteries,h/o_stroke,Stroke_date of onset,
I63.4,Stroke,Cerebral infarction due to embolism of cerebral arteries,h/o_stroke,Stroke_date of onset,
I63.5,Stroke,Cerebral infarction due to unspecified occlusion of cerebral arteries,h/o_stroke,Stroke_date of onset,
I63.6,Stroke,Cerebral infarction due to cerebral venous thrombosis, nonpyogenic,h/o_stroke,Stroke_date of onset,
I63.8,Stroke,Other cerebral infarction,h/o_stroke,Stroke_date of onset,
I63.9,Stroke,Cerebral infarction unspecified,h/o_stroke,Stroke_date of onset,
I61,Stroke,Intracerebral hemorrhage (parent),h/o_stroke,Stroke_date of onset,
I61.0,Stroke,Intracerebral hemorrhage in hemisphere, subcortical,h/o_stroke,Stroke_date of onset,
I61.1,Stroke,Intracerebral hemorrhage in hemisphere, cortical,h/o_stroke,Stroke_date of onset,
I61.2,Stroke,Intracerebral hemorrhage in hemisphere, unspecified,h/o_stroke,Stroke_date of onset,
I61.3,Stroke,Intracerebral hemorrhage in brain stem,h/o_stroke,Stroke_date of onset,
I61.4,Stroke,Intracerebral hemorrhage in cerebellum,h/o_stroke,Stroke_date of onset,
I61.5,Stroke,Intracerebral hemorrhage, intraventricular,h/o_stroke,Stroke_date of onset,
I61.6,Stroke,Intracerebral hemorrhage, multiple localized,h/o_stroke,Stroke_date of onset,
I61.8,Stroke,Other intracerebral hemorrhage,h/o_stroke,Stroke_date of onset,
I61.9,Stroke,Intracerebral hemorrhage unspecified,h/o_stroke,Stroke_date of onset,
I60,Stroke,Subarachnoid hemorrhage (parent),h/o_stroke,Stroke_date of onset,
I60.00,Stroke,Subarachnoid hemorrhage from carotid siphon and bifurcation, unspecified,h/o_stroke,Stroke_date of onset,
I60.01,Stroke,Subarachnoid hemorrhage from right carotid siphon and bifurcation,h/o_stroke,Stroke_date of onset,
I60.02,Stroke,Subarachnoid hemorrhage from left carotid siphon and bifurcation,h/o_stroke,Stroke_date of onset,
I60.9,Stroke,Nontraumatic subarachnoid hemorrhage unspecified,h/o_stroke,Stroke_date of onset,
I62,Stroke,Other nontraumatic intracranial hemorrhage (subdural/extradural) (remote),h/o_stroke,Stroke_date of onset,
I64,Stroke,Stroke not specified as hemorrhage or infarction (NOS),h/o_stroke,Stroke_date of onset,
I65,Stroke,Occlusion/stenosis precerebral arteries not resulting in infarction (remote),h/o_stroke,Stroke_date of onset,
I66,Stroke,Occlusion/stenosis cerebral arteries not resulting in infarction (remote),h/o_stroke,Stroke_date of onset,
I67.81,Stroke,Cerebral ischemia (remote),h/o_stroke,Stroke_date of onset,
I67.89,Stroke,Other specified cerebrovascular disease (remote),h/o_stroke,Stroke_date of onset,
I69,Stroke,Sequelae of cerebrovascular disease (remote),h/o_stroke,Stroke_date of onset,
G45,Stroke,Transient cerebral ischemic attacks (TIA) (remote),h/o_stroke,Stroke_date of onset,
I25.1,CAD,Atherosclerotic heart disease (parent),h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.10,CAD,Atherosclerotic heart disease of native coronary artery without angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.110,CAD,Atherosclerotic heart disease of native coronary artery w/ unstable angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.111,CAD,Atherosclerotic heart disease of native coronary artery w/ angina and documented spasm,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.118,CAD,Atherosclerotic heart disease of native coronary artery w/ other forms of angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.119,CAD,Atherosclerotic heart disease of native coronary artery w/ unspecified angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.7,CAD,Atherosclerosis of coronary artery bypass graft(s) and transplant (parent),h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.700,CAD,Atherosclerosis of unspecified CABG, native or unspecified vessel, w/ unstable angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.701,CAD,Atherosclerosis of unspecified CABG, autologous vein, w/ unstable angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.709,CAD,Atherosclerosis of unspecified CABG, unspecified angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.72,CAD,Atherosclerosis of autologous vein CABG w/ angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.75,CAD,Atherosclerosis of native coronary artery of transplanted heart w/ angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.79,CAD,Atherosclerosis of other coronary artery bypass graft w/ angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.8,CAD,Other forms of chronic ischemic heart disease,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.81,CAD,Atherosclerosis of coronary artery bypass graft without angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I25.9,CAD,Chronic ischemic heart disease unspecified,h/o__Coronary artery disease (CAD),Cad_date of onset,
I20,CAD,Angina pectoris (remote - closely related),h/o__Coronary artery disease (CAD),Cad_date of onset,
I20.0,CAD,Unstable angina,h/o__Coronary artery disease (CAD),Cad_date of onset,
I20.1,CAD,Angina pectoris with documented spasm (Prinzmetal),h/o__Coronary artery disease (CAD),Cad_date of onset,
I20.8,CAD,Other forms of angina pectoris,h/o__Coronary artery disease (CAD),Cad_date of onset,
I20.9,CAD,Angina pectoris unspecified,h/o__Coronary artery disease (CAD),Cad_date of onset,
I70.2,PAD,Atherosclerosis of native arteries of extremities (parent),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.20,PAD,Unspecified atherosclerosis of native arteries of extremities,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.21,PAD,Atherosclerosis of native arteries of extremities with intermittent claudication,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.22,PAD,Atherosclerosis of native arteries of extremities with rest pain,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.23,PAD,Atherosclerosis of native arteries of extremities with ulceration,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.24,PAD,Atherosclerosis of native arteries of extremities with gangrene,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.25,PAD,Atherosclerosis of native arteries of other extremity with ulceration,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.3,PAD,Atherosclerosis of unspecified extremity with ulceration,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.4,PAD,Atherosclerosis of bypass graft of extremities,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.5,PAD,Atherosclerosis of unspecified type of bypass graft(s) of extremities (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.6,PAD,Atherosclerosis of other type of bypass graft(s) of extremities (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.7,PAD,Atherosclerosis of other specified arteries (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.8,PAD,Atherosclerosis of other arteries,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.90,PAD,Unspecified atherosclerosis,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.91,PAD,Generalized atherosclerosis,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I70.92,PAD,Chronic total occlusion of artery of the extremities,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.9,PAD,Peripheral vascular disease unspecified,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.00,PAD,Raynaud's syndrome without gangrene (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.01,PAD,Raynaud's syndrome with gangrene (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.1,PAD,Thromboangiitis obliterans (Buerger's disease) (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.81,PAD,Erythromelalgia (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
I73.89,PAD,Other specified peripheral vascular diseases,h/o__peripheral artereial disease (PAD),PAD_date of onset,
I74,PAD,Arterial embolism and thrombosis (remote),h/o__peripheral artereial disease (PAD),PAD_date of onset,
E10,Diabetes,Type 1 diabetes mellitus (parent),h/o__diabetes_id,Diabetes_date of onset,
E10.10,Diabetes,Type 1 diabetes with ketoacidosis without coma,h/o__diabetes_id,Diabetes_date of onset,
E10.11,Diabetes,Type 1 diabetes with ketoacidosis with coma,h/o__diabetes_id,Diabetes_date of onset,
E10.21,Diabetes,Type 1 diabetes with diabetic nephropathy,h/o__diabetes_id,Diabetes_date of onset,
E10.22,Diabetes,Type 1 diabetes with diabetic chronic kidney disease,h/o__diabetes_id,Diabetes_date of onset,
E10.29,Diabetes,Type 1 diabetes with other diabetic kidney complication,h/o__diabetes_id,Diabetes_date of onset,
E10.311,Diabetes,Type 1 diabetes with unspecified diabetic retinopathy with macular edema,h/o__diabetes_id,Diabetes_date of onset,
E10.319,Diabetes,Type 1 diabetes with unspecified diabetic retinopathy without macular edema,h/o__diabetes_id,Diabetes_date of onset,
E10.36,Diabetes,Type 1 diabetes with diabetic cataract,h/o__diabetes_id,Diabetes_date of onset,
E10.40,Diabetes,Type 1 diabetes with diabetic neuropathy unspecified,h/o__diabetes_id,Diabetes_date of onset,
E10.42,Diabetes,Type 1 diabetes with diabetic polyneuropathy,h/o__diabetes_id,Diabetes_date of onset,
E10.51,Diabetes,Type 1 diabetes with diabetic peripheral angiopathy without gangrene,h/o__diabetes_id,Diabetes_date of onset,
E10.52,Diabetes,Type 1 diabetes with diabetic peripheral angiopathy with gangrene,h/o__diabetes_id,Diabetes_date of onset,
E10.610,Diabetes,Type 1 diabetes with diabetic neuropathic arthropathy,h/o__diabetes_id,Diabetes_date of onset,
E10.620,Diabetes,Type 1 diabetes with diabetic dermatitis,h/o__diabetes_id,Diabetes_date of onset,
E10.65,Diabetes,Type 1 diabetes with hyperglycemia,h/o__diabetes_id,Diabetes_date of onset,
E10.8,Diabetes,Type 1 diabetes with unspecified complications,h/o__diabetes_id,Diabetes_date of onset,
E10.9,Diabetes,Type 1 diabetes without complications,h/o__diabetes_id,Diabetes_date of onset,
E11,Diabetes,Type 2 diabetes mellitus (parent),h/o__diabetes_id,Diabetes_date of onset,
E11.00,Diabetes,Type 2 diabetes with hyperosmolarity without NKHHC,h/o__diabetes_id,Diabetes_date of onset,
E11.01,Diabetes,Type 2 diabetes with hyperosmolarity with coma,h/o__diabetes_id,Diabetes_date of onset,
E11.21,Diabetes,Type 2 diabetes with diabetic nephropathy,h/o__diabetes_id,Diabetes_date of onset,
E11.22,Diabetes,Type 2 diabetes with diabetic chronic kidney disease,h/o__diabetes_id,Diabetes_date of onset,
E11.29,Diabetes,Type 2 diabetes with other diabetic kidney complication,h/o__diabetes_id,Diabetes_date of onset,
E11.311,Diabetes,Type 2 diabetes with unspecified diabetic retinopathy with macular edema,h/o__diabetes_id,Diabetes_date of onset,
E11.319,Diabetes,Type 2 diabetes with unspecified diabetic retinopathy without macular edema,h/o__diabetes_id,Diabetes_date of onset,
E11.36,Diabetes,Type 2 diabetes with diabetic cataract,h/o__diabetes_id,Diabetes_date of onset,
E11.40,Diabetes,Type 2 diabetes with diabetic neuropathy unspecified,h/o__diabetes_id,Diabetes_date of onset,
E11.42,Diabetes,Type 2 diabetes with diabetic polyneuropathy,h/o__diabetes_id,Diabetes_date of onset,
E11.51,Diabetes,Type 2 diabetes with diabetic peripheral angiopathy without gangrene,h/o__diabetes_id,Diabetes_date of onset,
E11.52,Diabetes,Type 2 diabetes with diabetic peripheral angiopathy with gangrene,h/o__diabetes_id,Diabetes_date of onset,
E11.610,Diabetes,Type 2 diabetes with diabetic neuropathic arthropathy,h/o__diabetes_id,Diabetes_date of onset,
E11.620,Diabetes,Type 2 diabetes with diabetic dermatitis,h/o__diabetes_id,Diabetes_date of onset,
E11.65,Diabetes,Type 2 diabetes with hyperglycemia,h/o__diabetes_id,Diabetes_date of onset,
E11.8,Diabetes,Type 2 diabetes with unspecified complications,h/o__diabetes_id,Diabetes_date of onset,
E11.9,Diabetes,Type 2 diabetes without complications,h/o__diabetes_id,Diabetes_date of onset,
E08,Diabetes,Diabetes mellitus due to underlying condition (parent, subcodes mirror E11.xx),h/o__diabetes_id,Diabetes_date of onset,
E09,Diabetes,Drug or chemical induced diabetes mellitus (parent, subcodes mirror E11.xx),h/o__diabetes_id,Diabetes_date of onset,
E13,Diabetes,Other specified diabetes mellitus (parent, subcodes mirror E11.xx),h/o__diabetes_id,Diabetes_date of onset,
O24,Diabetes,Diabetes mellitus in pregnancy (remote - obstetric),h/o__diabetes_id,Diabetes_date of onset,
R73.03,Diabetes,Prediabetes (remote),h/o__diabetes_id,Diabetes_date of onset,
R73.09,Diabetes,Other abnormal glucose (remote),h/o__diabetes_id,Diabetes_date of onset,
N18,CKD,Chronic kidney disease (parent),h/o_Chronic kideny disease (CKD),CKD onset date,
N18.1,CKD,Chronic kidney disease stage 1,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.2,CKD,Chronic kidney disease stage 2 (mild),h/o_Chronic kideny disease (CKD),CKD onset date,
N18.3,CKD,Chronic kidney disease stage 3 (moderate),h/o_Chronic kideny disease (CKD),CKD onset date,
N18.30,CKD,Chronic kidney disease stage 3 unspecified,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.31,CKD,Chronic kidney disease stage 3a,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.32,CKD,Chronic kidney disease stage 3b,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.4,CKD,Chronic kidney disease stage 4 (severe),h/o_Chronic kideny disease (CKD),CKD onset date,
N18.5,CKD,Chronic kidney disease stage 5,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.6,CKD,End stage renal disease,h/o_Chronic kideny disease (CKD),CKD onset date,
N18.9,CKD,Chronic kidney disease unspecified,h/o_Chronic kideny disease (CKD),CKD onset date,
N19,CKD,Unspecified kidney failure (remote),h/o_Chronic kideny disease (CKD),CKD onset date,
Z99.2,CKD,Dependence on renal dialysis (remote),h/o_Chronic kideny disease (CKD),CKD onset date,
Z94.0,CKD,Kidney transplant status (remote),h/o_Chronic kideny disease (CKD),CKD onset date,
E78,Dyslipidemia,Disorders of lipoprotein metabolism (parent),risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.0,Dyslipidemia,Pure hypercholesterolemia,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.1,Dyslipidemia,Pure hyperglyceridemia,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.2,Dyslipidemia,Mixed hyperlipidemia,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.3,Dyslipidemia,Hyperchylomicronemia,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.4,Dyslipidemia,Other hyperlipidemia,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.5,Dyslipidemia,Hyperlipidemia unspecified,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.6,Dyslipidemia,Lipoprotein deficiency,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.7,Dyslipidemia,Disorders of lipid metabolism not elsewhere classified,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.8,Dyslipidemia,Other disorders of lipoprotein metabolism,risk_factors_dyslipdemia,dyslipidemia_date of onset,
E78.9,Dyslipidemia,Disorder of lipoprotein metabolism unspecified,risk_factors_dyslipdemia,dyslipidemia_date of onset,
F17,Smoke,Nicotine dependence (parent),risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.200,Smoke,Nicotine dependence unspecified uncomplicated,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.201,Smoke,Nicotine dependence unspecified in remission,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.203,Smoke,Nicotine dependence unspecified with withdrawal,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.209,Smoke,Nicotine dependence unspecified with unspecified nicotine-induced disorders,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.210,Smoke,Nicotine dependence cigarettes uncomplicated,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.211,Smoke,Nicotine dependence cigarettes in remission,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.213,Smoke,Nicotine dependence cigarettes with withdrawal,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.220,Smoke,Nicotine dependence chewing tobacco uncomplicated,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F17.290,Smoke,Nicotine dependence other tobacco product uncomplicated,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
Z87.891,Smoke,Personal history of nicotine dependence (former use),risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
Z72.0,Smoke,Tobacco use,risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
O99.33,Smoke,Smoking complicating pregnancy/childbirth (remote - obstetric),risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
P04.2,Smoke,Newborn affected by maternal use of tobacco (remote),risk_factors__smoke_id,Smoke_date of onset,risk_factors__smoke_packsyears | risk_factors__smoke_current/prior
F10,Alcohol,Alcohol related disorders (parent),risk_factors__alcohol,Alcohol_date of onset,
F10.10,Alcohol,Alcohol abuse uncomplicated,risk_factors__alcohol,Alcohol_date of onset,
F10.20,Alcohol,Alcohol dependence uncomplicated,risk_factors__alcohol,Alcohol_date of onset,
F10.21,Alcohol,Alcohol dependence in remission,risk_factors__alcohol,Alcohol_date of onset,
F10.229,Alcohol,Alcohol dependence with intoxication unspecified,risk_factors__alcohol,Alcohol_date of onset,
F10.230,Alcohol,Alcohol dependence with withdrawal uncomplicated,risk_factors__alcohol,Alcohol_date of onset,
F10.239,Alcohol,Alcohol dependence with withdrawal delirium unspecified,risk_factors__alcohol,Alcohol_date of onset,
F10.90,Alcohol,Alcohol use unspecified uncomplicated,risk_factors__alcohol,Alcohol_date of onset,
